Time [s], Analyzer Name, Decoded Protocol Result
6.517179000000000,SMBus,Command ManufacturerAccess '0' (0x00)
6.517505000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.517774000000000,SMBus,Word '6152' (0x1808) ACK
6.518358000000000,SMBus,PEC \n (0x0A) OK
6.519475000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.519738000000000,SMBus,Command Temperature '8' (0x08)
6.520064000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.520326000000000,SMBus,Word '41995' (0xA40B) ACK
6.520891000000000,SMBus,PEC '0' (0x00) OK
6.521854000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.522117000000000,SMBus,Command Voltage \t (0x09)
6.522443000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.522712000000000,SMBus,Word '27436' (0x6B2C) ACK
6.523301000000000,SMBus,PEC '205' (0xCD) OK
6.524234000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.524496000000000,SMBus,Command RemainingCapacity '15' (0x0F)
6.524822000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.525091000000000,SMBus,Word '0' (0x0000) ACK
6.525649000000000,SMBus,PEC '31' (0x1F) OK
6.526613000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.526875000000000,SMBus,Command FullChargeCapacity '16' (0x10)
6.527201000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.527470000000000,SMBus,Word '17157' (0x4305) ACK
6.528060000000000,SMBus,PEC '213' (0xD5) OK
6.528966000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.529229000000000,SMBus,Command Current \n (0x0A)
6.529555000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.529824000000000,SMBus,Word '0' (0x0000) ACK
6.530382000000000,SMBus,PEC Q (0x51) OK
6.531422000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.531685000000000,SMBus,Command ChargingCurrent '20' (0x14)
6.532011000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.532275000000000,SMBus,Word '61450' (0xF00A) ACK
6.532872000000000,SMBus,PEC '208' (0xD0) OK
6.533904000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.534166000000000,SMBus,Command AverageCurrent '11' (0x0B)
6.534492000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.534761000000000,SMBus,Word '0' (0x0000) ACK
6.535370000000000,SMBus,PEC G (0x47) OK
6.536309000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
6.536571000000000,SMBus,Command AverageTimeToFull '19' (0x13)
6.536897000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
6.537161000000000,SMBus,Word '65535' (0xFFFF) ACK
6.537723000000000,SMBus,PEC '180' (0xB4) OK
7.065432000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
7.065695000000000,SMBus,Command AverageTimeToEmpty '18' (0x12)
7.066021000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
7.066289000000000,SMBus,Word '0' (0x0000) ACK
7.066880000000000,SMBus,PEC '134' (0x86) OK
7.594261000000000,SMBus,Write address '11' (0x0B) ACK Protocol=Read word
7.594523000000000,SMBus,Command RunTimeToEmpty '17' (0x11)
7.594849000000000,SMBus,Read address '11' (0x0B) ACK Protocol=Read word
7.595118000000000,SMBus,Word '0' (0x0000) ACK
7.595708000000000,SMBus,PEC '188' (0xBC) OK
